	manual_annotation
9189-MTL_WM	Oligodendrocytes
9200-MTL_WM	Oligodendrocytes
9204-MTL_WM	Oligodendrocytes
9208-MTL_WM	Microglia
9209-MTL_WM	Oligodendrocytes
9221-MTL_WM	Oligodendrocytes
9242-MTL_WM	Astrocytes
9269-MTL_WM	Microglia
9271-MTL_WM	Oligodendrocytes
9308-MTL_WM	Astrocytes
9334-MTL_WM	Oligodendrocytes
9337-MTL_WM	Oligodendrocytes
9344-MTL_WM	Oligodendrocytes
9396-MTL_WM	Oligodendrocytes
9431-MTL_WM	Exc. Neurons
9457-MTL_WM	Oligodendrocytes
9473-MTL_WM	Oligodendrocytes
9502-MTL_WM	Oligodendrocytes
9507-MTL_WM	Astrocytes
9508-MTL_WM	Oligodendrocytes
9511-MTL_WM	Astrocytes
9525-MTL_WM	Oligodendrocytes
9579-MTL_WM	Oligodendrocytes
9585-MTL_WM	Microglia
9594-MTL_WM	OPCs
9607-MTL_WM	Microglia
9713-MTL_WM	Astrocytes
9775-MTL_WM	Exc. Neurons
9793-MTL_WM	Oligodendrocytes
9837-MTL_WM	Oligodendrocytes
9846-MTL_WM	Oligodendrocytes
9847-MTL_WM	Oligodendrocytes
9863-MTL_WM	Oligodendrocytes
9870-MTL_WM	Oligodendrocytes
9907-MTL_WM	Microglia
9941-MTL_WM	Oligodendrocytes
9943-MTL_WM	Oligodendrocytes
9955-MTL_WM	Astrocytes
10029-MTL_WM	Oligodendrocytes
10052-MTL_WM	Oligodendrocytes
10110-MTL_WM	Oligodendrocytes
10143-MTL_WM	Oligodendrocytes
10174-MTL_WM	Oligodendrocytes
10177-MTL_WM	Oligodendrocytes
10182-MTL_WM	OPCs
10217-MTL_WM	Astrocytes
10233-MTL_WM	Astrocytes
10286-MTL_WM	Oligodendrocytes
10335-MTL_WM	Oligodendrocytes
10369-MTL_WM	Astrocytes
10410-MTL_WM	Oligodendrocytes
10426-MTL_WM	Astrocytes
10432-MTL_WM	OPCs
10489-MTL_WM	Astrocytes
10496-MTL_WM	Oligodendrocytes
10559-MTL_WM	Oligodendrocytes
10566-MTL_WM	Oligodendrocytes
10567-MTL_WM	Oligodendrocytes
10571-MTL_WM	Microglia
10604-MTL_WM	Astrocytes
10618-MTL_WM	Oligodendrocytes
10623-MTL_WM	Astrocytes
10654-MTL_WM	Oligodendrocytes
10659-MTL_WM	OPCs
10664-MTL_WM	Oligodendrocytes
10667-MTL_WM	Oligodendrocytes
10692-MTL_WM	Oligodendrocytes
10868-MTL_WM	Oligodendrocytes
10881-MTL_WM	OPCs
10896-MTL_WM	Oligodendrocytes
10902-MTL_WM	Astrocytes
10923-MTL_WM	Astrocytes
10926-MTL_WM	Oligodendrocytes
10953-MTL_WM	Astrocytes
10998-MTL_WM	Oligodendrocytes
10999-MTL_WM	Oligodendrocytes
11050-MTL_WM	Oligodendrocytes
11052-MTL_WM	Oligodendrocytes
11098-MTL_WM	Oligodendrocytes
11136-MTL_WM	Oligodendrocytes
11166-MTL_WM	Oligodendrocytes
11226-MTL_WM	Oligodendrocytes
11240-MTL_WM	Oligodendrocytes
11280-MTL_WM	Oligodendrocytes
11289-MTL_WM	Oligodendrocytes
11308-MTL_WM	Oligodendrocytes
11314-MTL_WM	Oligodendrocytes
11319-MTL_WM	Astrocytes
11326-MTL_WM	Oligodendrocytes
11410-MTL_WM	Oligodendrocytes
11429-MTL_WM	Oligodendrocytes
11435-MTL_WM	Astrocytes
11466-MTL_WM	Oligodendrocytes
11518-MTL_WM	Oligodendrocytes
11519-MTL_WM	Oligodendrocytes
11546-MTL_WM	Oligodendrocytes
11553-MTL_WM	Oligodendrocytes
11579-MTL_WM	Oligodendrocytes
11602-MTL_WM	Oligodendrocytes
11617-MTL_WM	Oligodendrocytes
11671-MTL_WM	OPCs
11679-MTL_WM	OPCs
11680-MTL_WM	Astrocytes
11686-MTL_WM	Oligodendrocytes
11694-MTL_WM	Oligodendrocytes
11720-MTL_WM	Endothelial
11737-MTL_WM	Oligodendrocytes
11757-MTL_WM	Oligodendrocytes
11776-MTL_WM	Oligodendrocytes
11795-MTL_WM	Oligodendrocytes
11831-MTL_WM	Oligodendrocytes
11861-MTL_WM	Oligodendrocytes
11893-MTL_WM	Astrocytes
11903-MTL_WM	Oligodendrocytes
11919-MTL_WM	Oligodendrocytes
11930-MTL_WM	Oligodendrocytes
11932-MTL_WM	Oligodendrocytes
11952-MTL_WM	Oligodendrocytes
11963-MTL_WM	Oligodendrocytes
11964-MTL_WM	Oligodendrocytes
12008-MTL_WM	Oligodendrocytes
12036-MTL_WM	Oligodendrocytes
12082-MTL_WM	Oligodendrocytes
12090-MTL_WM	Astrocytes
12122-MTL_WM	Astrocytes
12125-MTL_WM	Oligodendrocytes
12129-MTL_WM	Oligodendrocytes
12130-MTL_WM	Oligodendrocytes
12142-MTL_WM	Oligodendrocytes
12179-MTL_WM	OPCs
12225-MTL_WM	Oligodendrocytes
12249-MTL_WM	Oligodendrocytes
12251-MTL_WM	Astrocytes
12319-MTL_WM	Oligodendrocytes
12379-MTL_WM	Oligodendrocytes
12429-MTL_WM	Astrocytes
12444-MTL_WM	Inh. Neurons
12449-MTL_WM	Oligodendrocytes
12479-MTL_WM	Oligodendrocytes
12500-MTL_WM	Oligodendrocytes
12551-MTL_WM	Oligodendrocytes
12553-MTL_WM	Astrocytes
12602-MTL_WM	Oligodendrocytes
12612-MTL_WM	Endothelial
12623-MTL_WM	Oligodendrocytes
12640-MTL_WM	Oligodendrocytes
12668-MTL_WM	Oligodendrocytes
12672-MTL_WM	Oligodendrocytes
12681-MTL_WM	Oligodendrocytes
12711-MTL_WM	Astrocytes
12734-MTL_WM	Astrocytes
12744-MTL_WM	Oligodendrocytes
12817-MTL_WM	Astrocytes
12819-MTL_WM	Microglia
12829-MTL_WM	Oligodendrocytes
12858-MTL_WM	Oligodendrocytes
12876-MTL_WM	Oligodendrocytes
12918-MTL_WM	Astrocytes
12933-MTL_WM	Oligodendrocytes
12939-MTL_WM	Oligodendrocytes
12992-MTL_WM	Oligodendrocytes
13007-MTL_WM	Oligodendrocytes
13062-MTL_WM	Astrocytes
13077-MTL_WM	Oligodendrocytes
13092-MTL_WM	Oligodendrocytes
13111-MTL_WM	Oligodendrocytes
13120-MTL_WM	Astrocytes
13149-MTL_WM	Oligodendrocytes
13200-MTL_WM	Oligodendrocytes
13215-MTL_WM	Exc. Neurons
13219-MTL_WM	Oligodendrocytes
13227-MTL_WM	Exc. Neurons
13241-MTL_WM	Oligodendrocytes
13248-MTL_WM	Microglia
13249-MTL_WM	Oligodendrocytes
13256-MTL_WM	Oligodendrocytes
13285-MTL_WM	Oligodendrocytes
13310-MTL_WM	Oligodendrocytes
13320-MTL_WM	OPCs
13323-MTL_WM	Oligodendrocytes
13331-MTL_WM	Astrocytes
13347-MTL_WM	Oligodendrocytes
13352-MTL_WM	Oligodendrocytes
13402-MTL_WM	Astrocytes
13427-MTL_WM	Oligodendrocytes
13479-MTL_WM	Oligodendrocytes
13507-MTL_WM	Astrocytes
13546-MTL_WM	Astrocytes
13562-MTL_WM	Endothelial
13577-MTL_WM	OPCs
13655-MTL_WM	Oligodendrocytes
13669-MTL_WM	Oligodendrocytes
13673-MTL_WM	Oligodendrocytes
13688-MTL_WM	Astrocytes
13721-MTL_WM	Astrocytes
13726-MTL_WM	Oligodendrocytes
13758-MTL_WM	Oligodendrocytes
13767-MTL_WM	Oligodendrocytes
13796-MTL_WM	Oligodendrocytes
